iter	MultiClass
198	0.4629654919
199	0.4627758159
200	0.4626792024
201	0.4624632885
202	0.4623099729
203	0.4621119151
204	0.4619781081
205	0.4618874757
206	0.4617527342
207	0.461530589
208	0.4613434396
209	0.4611054582
210	0.4609678378
211	0.4608577354
212	0.4607088192
213	0.4604462789
214	0.4602068145
215	0.4600601796
216	0.4599663118
217	0.4598598145
218	0.4595562
219	0.4593492969
220	0.4591780068
221	0.4589424373
222	0.4587868337
223	0.4585401576
224	0.4585019403
225	0.4583186708
226	0.458122604
227	0.4578626505
228	0.4577143218
229	0.4576366036
230	0.4574524612
231	0.4573065167
232	0.4572184666
233	0.4569657722
234	0.4568822491
235	0.4567142585
236	0.4565667714
237	0.4563732302
238	0.4562169163
239	0.4560306184
240	0.4559390618
241	0.4556958249
242	0.4555807321
243	0.4553653519
244	0.4552310598
245	0.4550671813
246	0.4549427732
247	0.4549056392
248	0.454749663
249	0.4546755449
250	0.4545940793
251	0.4544604892
252	0.4543321015
253	0.4541626682
254	0.4540112736
255	0.4538867222
256	0.4537458357
257	0.4536096818
258	0.4533687526
259	0.4532402933
260	0.4530677733
261	0.4530035295
262	0.4528246376
263	0.4526335128
264	0.452534309
265	0.4524102125
266	0.4523397126
267	0.4521198582
268	0.4519926042
269	0.4518676859
270	0.4517305637
271	0.4515163669
272	0.4513501653
273	0.4511899392
274	0.4510350692
275	0.4509329946
276	0.4507228403
277	0.4506478035
278	0.4503910153
279	0.4501415416
280	0.4499917125
281	0.4498260627
282	0.4496261343
283	0.4494567262
284	0.4491870978
285	0.449043388
286	0.4489661443
287	0.4488137622
288	0.4487121347
289	0.448550222
290	0.4484510142
291	0.4483913567
292	0.4482526698
293	0.4481163648
294	0.4479354881
295	0.4478251681
296	0.4477310375
297	0.4476198695
298	0.4474715057
299	0.4473593572
300	0.4472002997
301	0.4470624774
302	0.4469291904
303	0.4467747329
304	0.4466787747
305	0.446533716
306	0.4464418787
307	0.4463382752
308	0.4461955697
309	0.4460210242
310	0.4458270983
311	0.4457037894
312	0.4456318204
313	0.4454739803
314	0.4453481322
315	0.4451853133
316	0.4451199874
317	0.4449889263
318	0.4447792812
319	0.4446524891
320	0.4445775773
321	0.4444452271
322	0.4442503262
323	0.4440644766
324	0.4439016321
325	0.443812698
326	0.4437187227
327	0.4436197429
328	0.4434365903
329	0.44322335
330	0.4430902652
331	0.4429935501
332	0.44284125
333	0.4427252709
334	0.4426632951
335	0.442537719
336	0.442395766
337	0.4421619919
338	0.4420135952
339	0.4419276763
340	0.4418065347
341	0.4417081166
342	0.441536623
343	0.4413932999
344	0.4412349537
345	0.4411503046
346	0.4409838934
347	0.4408505406
348	0.4407379917
349	0.4406242694
350	0.4404755023
351	0.4402489105
352	0.4401288615
353	0.4399973438
354	0.4398792476
355	0.4396940369
356	0.4395274779
357	0.4394038352
358	0.4392678798
359	0.4391921786
360	0.4390522621
361	0.4388178256
362	0.4386511219
363	0.4384663931
364	0.4383886436
365	0.4382948506
366	0.438224786
367	0.4381466268
368	0.4380165705
369	0.4379200173
370	0.4377917037
371	0.4376641109
372	0.4375625671
373	0.4374502059
374	0.4373351211
375	0.4372381339
376	0.4371222598
377	0.4370113741
378	0.4369126232
379	0.4368229646
380	0.4367353541
381	0.4366056561
382	0.4365419684
383	0.436420873
384	0.436310429
385	0.4361027686
386	0.4360488066
387	0.4359639161
388	0.4358383502
389	0.4356976728
390	0.4355640126
391	0.4354499154
392	0.4353870768
393	0.4351693288
394	0.4350479394
395	0.4348935782
396	0.434742231
397	0.4346317038
398	0.4345399004
399	0.4344424789
400	0.4342523741
401	0.4341278622
402	0.4339811391
403	0.4339019782
404	0.4338482471
405	0.4336607953
406	0.4335220425
407	0.4334263531
408	0.4333040624
409	0.4331888136
410	0.4331206517
411	0.4329563423
412	0.432832743
413	0.432781246
414	0.4326803676
415	0.4325675066
416	0.4324914454
417	0.4324063432
418	0.4322414408
419	0.4321888747
420	0.4321191986
421	0.4320093846
422	0.4318480385
423	0.4317434329
424	0.4316045923
425	0.431522198
426	0.4314253109
427	0.4313298004
428	0.4312283634
429	0.4311014658
430	0.4309721398
431	0.4308668071
432	0.4307303714
433	0.4305943188
434	0.4305564064
435	0.4303951865
436	0.4302612269
437	0.4301129392
438	0.4299881846
439	0.4299400586
440	0.4298258986
441	0.4297243265
442	0.4296153887
443	0.4294716416
444	0.4293647591
445	0.4292041625
446	0.429099927
447	0.4289199428
448	0.4287888385
449	0.4286830619
450	0.4285773948
451	0.4284390757
452	0.4283014962
453	0.4281198396
454	0.4280103917
455	0.4279171385
456	0.4277648951
457	0.4276316073
458	0.4275088333
459	0.4274401716
460	0.4273713527
461	0.4272499059
462	0.4271453195
463	0.4270160079
464	0.4268937418
465	0.4268176619
466	0.4267399715
467	0.4265957661
468	0.4265149572
469	0.4263738095
470	0.4262576614
471	0.4261225258
472	0.4259428681
473	0.4258509469
474	0.4257155198
475	0.4256304795
476	0.4255210866
477	0.4254632183
478	0.425395226
479	0.4253199855
480	0.4251432938
481	0.4250280372
482	0.42498269
483	0.4249097458
484	0.4248187765
485	0.4245951258
486	0.4244936714
487	0.4244228967
488	0.4243059217
489	0.4241784746
490	0.4240760491
491	0.4239134063
492	0.4237488647
493	0.4236513674
494	0.423512703
495	0.4233893894
496	0.4233575013
497	0.4231817607
498	0.4230971144
499	0.4230479851
500	0.4228898422
501	0.4227963329
502	0.422728284
503	0.4226100604
504	0.422505728
505	0.4223633722
506	0.4223095638
507	0.422237302
508	0.4221729305
509	0.422050547
510	0.4219292363
511	0.4218009486
512	0.4216780576
513	0.421589529
514	0.4214240984
515	0.4212796767
516	0.4211232381
517	0.4210119419
518	0.4209664024
519	0.4208745011
520	0.42076116
521	0.4206639504
522	0.4205892162
523	0.4204539044
524	0.4203558126
525	0.4202554595
526	0.4201072008
527	0.420038616
528	0.4199486757
529	0.4198195022
530	0.4196886622
531	0.4196315548
532	0.419504156
533	0.4194013373
534	0.4193283421
535	0.4191945318
536	0.4190291168
537	0.4189175162
538	0.4188028108
539	0.4187181098
540	0.4186253706
541	0.418586455
542	0.4184230705
543	0.4182933645
544	0.4182151516
545	0.4181691104
546	0.4180948728
547	0.4179785599
548	0.4178755613
549	0.4177328402
550	0.4176754438
551	0.4176374136
552	0.4175472317
553	0.4174736347
554	0.4173584575
555	0.4171905834
556	0.4170449492
557	0.4169124553
558	0.4168544621
559	0.4167410076
560	0.4166682281
561	0.4165317229
562	0.416414012
563	0.4163065024
564	0.4162273186
565	0.4161285346
566	0.4160396808
567	0.4159598552
568	0.415866452
569	0.4157917751
570	0.415671441
571	0.4155770312
572	0.4155239082
573	0.4153997091
574	0.4152693425
575	0.4151683245
576	0.4151098949
577	0.4149896841
578	0.4149002897
579	0.4148144124
580	0.4147106
581	0.4145601437
582	0.4144480381
583	0.4143592423
584	0.4142819406
585	0.4141982648
586	0.4141021973
587	0.4140483741
588	0.4139357807
589	0.4138302861
590	0.4137370507
591	0.4136554958
592	0.4135536855
593	0.4135179551
594	0.4134463425
595	0.4133630773
596	0.4132542617
597	0.4132180388
598	0.4131426509
599	0.4130217566
600	0.4129628298
601	0.4128933203
602	0.4127753695
603	0.4126963314
604	0.4126148185
605	0.4124938339
606	0.4124003126
607	0.4123498496
608	0.4122079362
609	0.4121250987
610	0.4119996029
611	0.4118773
612	0.4117882337
613	0.4116932558
614	0.4116322477
615	0.4115691222
616	0.4114909725
617	0.4113801937
618	0.4112462668
619	0.4110842947
620	0.4110127475
621	0.4109287541
622	0.4108523124
623	0.4107653327
624	0.4106729356
625	0.4105521932
626	0.4104307611
627	0.410289531
628	0.4101783902
629	0.4100178723
630	0.4098850199
631	0.4098377651
632	0.4097752573
633	0.409723888
634	0.4096243141
635	0.4095088824
636	0.4093878113
637	0.4092977196
638	0.40921578
639	0.4091763817
640	0.4091186047
641	0.4089918166
642	0.4088994633
643	0.4087331938
644	0.4085413794
645	0.4084401393
646	0.4082769821
647	0.4081579344
648	0.4080553332
649	0.4079209355
650	0.4078783215
651	0.4077596003
652	0.4077190825
653	0.4075909528
654	0.4075381296
655	0.4074222406
656	0.4073120793
657	0.4072523468
658	0.4071291089
659	0.4070593899
660	0.4070093548
661	0.406913688
662	0.4068461967
663	0.406764202
664	0.4067245147
665	0.40665296
666	0.4065864967
667	0.4065281536
668	0.4064216474
669	0.4063323005
670	0.4062392561
671	0.4061558561
672	0.4060887448
673	0.4060325101
674	0.4059098369
675	0.4058262574
676	0.4057344023
677	0.4056425693
678	0.4055720488
679	0.4054833624
680	0.4054065923
681	0.405336
682	0.4052257027
683	0.4051236843
684	0.404968823
685	0.4048117198
686	0.4047363875
687	0.4045966038
688	0.4044438203
689	0.4043567845
690	0.4042229458
691	0.4041116947
692	0.4040299972
693	0.4039358349
694	0.4038415811
695	0.4037182811
696	0.4036366047
697	0.4035191841
698	0.4033783809
699	0.4033125904
700	0.4032341922
701	0.4031614437
702	0.403022711
703	0.4029214757
704	0.4028653112
705	0.4027574559
706	0.4026487443
707	0.4025662845
708	0.4024717888
709	0.4023349106
710	0.4022529028
711	0.402149977
712	0.4020762577
713	0.4019931615
714	0.4018927807
715	0.4017679484
716	0.4016747216
717	0.4015651781
718	0.4014782303
719	0.4013436285
720	0.401290951
721	0.4012324836
722	0.4011359207
723	0.4010584359
724	0.400960438
725	0.4008826397
726	0.4008062703
727	0.4007649451
728	0.4006693091
729	0.4005407673
730	0.4004530836
731	0.4003366456
732	0.4002289951
733	0.4001541494
734	0.4000649895
735	0.3999707026
736	0.3998786705
737	0.399789126
738	0.399735451
739	0.3996908296
740	0.3996160988
741	0.3994915185
742	0.3994040437
743	0.3992912438
744	0.399198637
745	0.3990766474
746	0.3989333682
747	0.3988531624
748	0.3987286987
749	0.398603719
750	0.3985029874
751	0.3984481911
752	0.3983707581
753	0.3982414777
754	0.3981924416
755	0.3981302169
756	0.3980234052
757	0.3979782676
758	0.397883813
759	0.3978446944
760	0.397777129
761	0.3976728996
762	0.3975913273
763	0.3974668579
764	0.3974001753
765	0.3973082436
766	0.3972279037
767	0.3971322342
768	0.397054355
769	0.3968965004
770	0.3968640473
771	0.3967694818
772	0.3966987551
773	0.3965608829
774	0.3964883005
775	0.3963788078
776	0.3963261285
777	0.3962538019
778	0.3962139663
779	0.3961691776
780	0.3961238807
781	0.3960481517
782	0.3959708266
783	0.3958796755
784	0.3958386487
785	0.3957506646
786	0.3956818088
787	0.3955350104
788	0.3954615575
789	0.3953615107
790	0.3952390614
791	0.3950973168
792	0.3950451672
793	0.3949602141
794	0.3948617103
795	0.3947962045
796	0.3946932463
797	0.3946408447
798	0.3945592301
799	0.3944536281
800	0.3943977078
801	0.3943159322
802	0.3941945743
803	0.394054276
804	0.3939770267
805	0.3938654542
806	0.3937796894
807	0.3936850217
808	0.3936135709
809	0.3935471182
810	0.3935020806
811	0.3934348232
812	0.3933209698
813	0.3932756094
814	0.3932124785
815	0.3931743671
816	0.3930725445
817	0.3929892208
818	0.3928696544
819	0.3927330505
820	0.3926498796
821	0.3925442989
822	0.3924621448
823	0.3923648454
824	0.3922946363
825	0.3922505739
826	0.3921842636
827	0.3921125218
828	0.3920143221
829	0.3919653644
830	0.391896228
831	0.3917960561
832	0.3917144785
833	0.3916260252
834	0.3914712214
835	0.3912862605
836	0.3912362262
837	0.391112826
838	0.3910222199
839	0.3909631369
840	0.390882327
841	0.3908091361
842	0.3907046348
843	0.3906488642
844	0.3905816417
845	0.3904985632
846	0.3903850213
847	0.3902689273
848	0.3901882116
849	0.3901156836
850	0.3900441233
851	0.3899415052
852	0.3898295729
853	0.389777273
854	0.3897291631
855	0.3896926058
856	0.3896208579
857	0.3895436787
858	0.3894951959
859	0.3894192035
860	0.3892282082
861	0.3891128967
862	0.3890258404
863	0.3889644331
864	0.3888876056
865	0.3888205085
866	0.3887532346
867	0.3886779639
868	0.3886262073
869	0.3885521838
870	0.388489452
871	0.3883650678
872	0.3882817317
873	0.3882032576
874	0.3880855457
875	0.3880163339
876	0.387983289
877	0.3877795593
878	0.387678334
879	0.3876056683
880	0.3875419008
881	0.3874464837
882	0.3873138561
883	0.3872678267
884	0.3871851919
885	0.3871253858
886	0.3870396868
887	0.3869721325
888	0.3868914885
889	0.3868318029
890	0.386723682
891	0.386658328
892	0.3865520874
893	0.3864808101
894	0.3864059687
895	0.3862930698
896	0.3862082829
897	0.386136743
898	0.3860600742
899	0.3859985815
900	0.3859121453
901	0.3858236697
902	0.3857456894
903	0.3856494631
904	0.3855415435
905	0.3854356844
906	0.3853334186
907	0.3852372261
908	0.385124747
909	0.3850109291
910	0.3849542023
911	0.3848668467
912	0.3847680363
913	0.3847061719
914	0.3846423378
915	0.3845076834
916	0.3844846052
917	0.3844309696
918	0.3843499663
919	0.3842571855
920	0.384198785
921	0.3841353235
922	0.3840530416
923	0.3839745519
924	0.3838958214
925	0.3838046361
926	0.3837037693
927	0.3836228584
928	0.3835180252
929	0.383437419
930	0.3833634747
931	0.3832489388
932	0.3831853139
933	0.383148464
934	0.383081524
935	0.3830289712
936	0.382984421
937	0.3828818711
938	0.382839888
939	0.3827830995
940	0.3826775915
941	0.3825224418
942	0.3824418618
943	0.3823968671
944	0.3823335665
945	0.3822080438
946	0.3821216523
947	0.3820548517
948	0.381974245
949	0.3818404092
950	0.3817780355
951	0.3817299642
952	0.3815813043
953	0.3815384006
954	0.3814047216
955	0.3813271229
956	0.381301362
957	0.381194693
958	0.3811282593
959	0.3810726206
960	0.381000838
961	0.3809345159
962	0.3808538406
963	0.3807570395
964	0.3806791704
965	0.3806312368
966	0.3805221408
967	0.3803701413
968	0.3803286958
969	0.3802930933
970	0.3802354691
971	0.3801970383
972	0.3801192554
973	0.3800128636
974	0.3799349928
975	0.3798728742
976	0.3798315785
977	0.3797004638
978	0.3796163238
979	0.3795018483
980	0.3794421362
981	0.3793728152
982	0.3793084559
983	0.3792018765
984	0.379129712
985	0.3790769924
986	0.378989598
987	0.3789356084
988	0.3788687667
989	0.3788234202
990	0.3787422979
991	0.3786845796
992	0.3786047033
993	0.3785088317
994	0.3784653933
995	0.3783380357
996	0.3782603393
997	0.3781648733
998	0.3780730778
999	0.3779562841
